year,1st,2nd,3rd
1962,Ralph Votapek - United States, Nikolai Petrov - Soviet Union, Mikhail Voskresensky - Soviet Union
1966,Radu Lupu - Romania, Barry Lee Snyder - United States, Blanca Uribe [es] - Colombia
1969,Cristina Ortiz - Brazil, Minoru Nojima - Japan, Mark Westcott - United States
1973,Vladimir Viardo - Soviet Union, Christian Zacharias - West Germany, Michael James Houstoun - New Zealand
1977,Steven De Groote - South Africa, Alexander Toradze - Soviet Union, Jeffrey Swann - United States
1981,Andre-Michel Schub - France, Panayis Lyras - United States,
1981,, Santiago Rodriguez - United States,
1985,José Feghali - Brazil, Philippe Bianconi - France, Barry Douglas - United Kingdom
1989,Alexei Sultanov - Soviet Union, José Carlos Cocarelli - Brazil, Benedetto Lupo - Italy
1993,Simone Pedroni - Italy, Valery Kuleshov - Russia, Christopher Taylor - United States
1997,Jon Nakamatsu - United States, Yakov Kasman - Russia, Aviram Reichert - Israel
2001,Stanislav Ioudenitch - Uzbekistan, Maxim Philippov - Russia,
2001,Olga Kern - Russia, Antonio Pompa-Baldi - Italy
2005,Alexander Kobrin - Russia, Joyce Yang - South Korea, Sa Chen - China
2009,Nobuyuki Tsujii - Japan,,
2009,Haochen Zhang - China, Yeol Eum Son - South Korea,
2013,Vadym Kholodenko - Ukraine, Beatrice Rana - Italy, Sean Chen - United States
2017,Yekwon Sunwoo - South Korea, Kenneth Broberg - United States, Daniel Hsu - United States
2022,Yunchan Lim - South Korea, Anna Geniushene - Russia, Dmytro Choni - Ukraine
