year,Position,Category,Name,Country,Finals,event,Gender
1927,3rd,Competition,Róża Etkin,Poland,True,International Chopin Piano Competition,female
1932,1st,Competition,Alexander Uninsky (c),Soviet Union,True,International Chopin Piano Competition,male
1932,2nd,Competition,Imre Ungár (c),Hungary,True,International Chopin Piano Competition,male
1932,3rd,Competition,Bolesław Kon,Poland,True,International Chopin Piano Competition,male
1937,1st,Competition,Yakov Zak,Soviet Union,True,International Chopin Piano Competition,male
1937,2nd,Competition,Rosa Tamarkina,Soviet Union,True,International Chopin Piano Competition,female
1937,3rd,Competition,Witold Małcużyński,Poland,True,International Chopin Piano Competition,male
1949,1st,Competition,Bella Davidovich,Soviet Union,True,International Chopin Piano Competition,female
1949,2nd,Competition,Barbara Hesse-Bukowska,Poland,True,International Chopin Piano Competition,female
1949,3rd,Competition,Waldemar Maciszewski,Poland,True,International Chopin Piano Competition,male
1955,1st,Competition,Adam Harasiewicz,Poland,True,International Chopin Piano Competition,male
1955,2nd,Competition,Vladimir Ashkenazy,Soviet Union,True,International Chopin Piano Competition,male
1955,3rd,Competition,Fou Ts'ong,China,True,International Chopin Piano Competition,unknown
1960,1st,Competition,Maurizio Pollini,Italy,True,International Chopin Piano Competition,male
1960,2nd,Competition,Irina Zaritskaya,Soviet Union,True,International Chopin Piano Competition,female
1960,3rd,Competition,Tania Achot-Haroutounian,Iran,True,International Chopin Piano Competition,female
1965,1st,Competition,Martha Argerich,Argentina,True,International Chopin Piano Competition,female
1965,2nd,Competition,Arthur Moreira Lima,Brazil,True,International Chopin Piano Competition,male
1965,3rd,Competition,Marta Sosińska,Poland,True,International Chopin Piano Competition,female
1970,1st,Competition,Garrick Ohlsson,United States,True,International Chopin Piano Competition,male
1970,2nd,Competition,Mitsuko Uchida,Japan,True,International Chopin Piano Competition,female
1970,3rd,Competition,Piotr Paleczny,Poland,True,International Chopin Piano Competition,male
1975,1st,Competition,Krystian Zimerman,Poland,True,International Chopin Piano Competition,male
1975,2nd,Competition,Dina Joffe,Soviet Union,True,International Chopin Piano Competition,female
1975,3rd,Competition,Tatyana Fedkina,Soviet Union,True,International Chopin Piano Competition,female
1980,1st,Competition,Dang Thai Son,Vietnam,True,International Chopin Piano Competition,andy
1980,2nd,Competition,Tatyana Shebanova,Soviet Union,True,International Chopin Piano Competition,female
1980,3rd,Competition,Arutyun Papazyan,Soviet Union,True,International Chopin Piano Competition,unknown
1985,1st,Competition,Stanislav Bunin,Soviet Union,True,International Chopin Piano Competition,male
1985,2nd,Competition,Marc Laforet,France,True,International Chopin Piano Competition,male
1985,3rd,Competition,Krzysztof Jabłoński,Poland,True,International Chopin Piano Competition,male
1990,2nd,Competition,Kevin Kenner,United States,True,International Chopin Piano Competition,male
1990,3rd,Competition,Yukio Yokoyama,Japan,True,International Chopin Piano Competition,male
1995,2nd,Competition,Philippe Giusiano,France,True,International Chopin Piano Competition,male
